pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
HD 8535,b,HD 8535 b,Radial Velocity,0,1,1313.00000000,28.00000000,-28.00000000,0,1,2.450000,0.040000,-0.060000,0,1,0.150000,0.090000,-0.050000,0,1,,,,,0,0.68000,0.07000,-0.04000,0,1,Msini,,,,,0,,,,,0,0,0,0,01h23m37.24s,-41d16m11.3s,20.905149,0.000001,-41.269802,0.000002,2,52.50,1.70,-1.60,0,3,7.700,,0,V (Johnson),7.561,,0,6136.00,18.00,-18.00,0,2,1.13,,,0,1,1.19,0.04,-0.04,0,2,0,2015-04-16,La Silla Observatory
HD 8574,b,HD 8574 b,Radial Velocity,0,1,227.00000000,0.20000000,-0.20000000,0,3,0.760000,0.010000,-0.010000,0,3,0.300000,0.030000,-0.030000,0,3,,,,0,0,2.03000,0.14000,-0.14000,0,3,Msini,,,,0,0,,,,0,0,0,0,0,01h25m12.52s,+28d34m00.1s,21.302153,0.000002,28.566692,0.000001,2,44.88,0.09,-0.09,0,3,7.112,0.011,0,V (Johnson),6.983,,0,6064.00,14.00,-14.00,0,5,1.34,0.12,-0.12,0,5,1.38,0.02,-0.02,0,3,0,2018-09-06,Haute-Provence Observatory
HD 8673,b,HD 8673 b,Radial Velocity,0,1,1634.00000000,17.00000000,-17.00000000,0,1,3.020000,0.150000,-0.150000,0,1,0.723000,0.016000,-0.016000,0,1,,,,0,0,14.20000,1.60000,-1.60000,0,1,Msini,,,,0,0,,,,0,0,0,0,0,01h26m08.78s,+34d34m46.9s,21.536604,0.000002,34.579700,0.000001,2,37.90,0.05,-0.05,0,2,6.310,,0,V (Johnson),6.219,,0,6472.00,51.00,-51.00,0,2,1.35,0.10,-0.10,0,1,1.39,0.10,-0.10,0,2,0,2019-01-31,Thueringer Landessternwarte Tautenburg
HD 9446,b,HD 9446 b,Radial Velocity,0,2,30.05200000,0.02700000,-0.02700000,0,1,0.189000,0.006000,-0.006000,0,1,0.200000,0.060000,-0.060000,0,1,,,,0,0,0.70000,0.06000,-0.06000,0,1,Msini,,,,0,0,,,,0,0,0,0,0,01h33m20.18s,+29d15m54.5s,23.334101,0.000002,29.265148,0.000002,2,50.42,0.35,-0.35,0,2,8.369,0.015,0,V (Johnson),8.209,,0,5793.00,22.00,-22.00,0,2,1.00,0.10,-0.10,0,1,1.00,,,0,2,0,2019-01-31,Haute-Provence Observatory
HD 9446,c,HD 9446 c,Radial Velocity,0,2,192.90000000,0.90000000,-0.90000000,0,1,0.654000,0.022000,-0.022000,0,1,0.060000,0.060000,-0.060000,0,1,,,,0,0,1.82000,0.17000,-0.17000,0,1,Msini,,,,0,0,,,,0,0,0,0,0,01h33m20.18s,+29d15m54.5s,23.334101,0.000002,29.265148,0.000002,2,50.42,0.35,-0.35,0,2,8.369,0.015,0,V (Johnson),8.209,,0,5793.00,22.00,-22.00,0,2,1.00,0.10,-0.10,0,1,1.00,,,0,2,0,2019-01-31,Haute-Provence Observatory
HD 10180,c,HD 10180 c,Radial Velocity,0,6,5.75969000,0.00028000,-0.00028000,0,2,0.064120,0.001010,-0.001010,0,2,0.073000,0.031000,-0.031000,0,2,,,,,1,0.04160,0.00140,-0.00140,0,2,Msini,,,,,0,,,,,0,0,0,0,01h37m53.58s,-60d30m41.5s,24.473234,0.000001,-60.511528,0.000001,2,39.00,0.04,-0.04,0,3,7.321,0.010,0,V (Johnson),7.173,,0,5911.00,19.00,-19.00,0,4,1.06,0.05,-0.05,0,4,1.11,0.04,-0.04,0,3,0,2015-06-25,La Silla Observatory
HD 10180,d,HD 10180 d,Radial Velocity,0,6,16.35700000,0.00380000,-0.00380000,0,2,0.128590,0.002020,-0.002020,0,2,0.131000,0.052000,-0.052000,0,2,,,,,1,0.03780,0.00220,-0.00220,0,2,Msini,,,,,0,,,,,0,0,0,0,01h37m53.58s,-60d30m41.5s,24.473234,0.000001,-60.511528,0.000001,2,39.00,0.04,-0.04,0,3,7.321,0.010,0,V (Johnson),7.173,,0,5911.00,19.00,-19.00,0,4,1.06,0.05,-0.05,0,4,1.11,0.04,-0.04,0,3,0,2015-06-25,La Silla Observatory
HD 10180,e,HD 10180 e,Radial Velocity,0,6,49.74800000,0.02500000,-0.02500000,0,2,0.269900,0.004300,-0.004300,0,2,0.051000,0.033000,-0.033000,0,2,,,,,1,0.08050,0.00320,-0.00320,0,2,Msini,,,,,0,,,,,0,0,0,0,01h37m53.58s,-60d30m41.5s,24.473234,0.000001,-60.511528,0.000001,2,39.00,0.04,-0.04,0,3,7.321,0.010,0,V (Johnson),7.173,,0,5911.00,19.00,-19.00,0,4,1.06,0.05,-0.05,0,4,1.11,0.04,-0.04,0,3,0,2015-06-25,La Silla Observatory
HD 10180,f,HD 10180 f,Radial Velocity,0,6,122.74400000,0.23200000,-0.23200000,0,2,0.492900,0.007800,-0.007800,0,2,0.119000,0.054000,-0.054000,0,2,,,,,1,0.07220,0.00470,-0.00470,0,2,Msini,,,,,0,,,,,0,0,0,0,01h37m53.58s,-60d30m41.5s,24.473234,0.000001,-60.511528,0.000001,2,39.00,0.04,-0.04,0,3,7.321,0.010,0,V (Johnson),7.173,,0,5911.00,19.00,-19.00,0,4,1.06,0.05,-0.05,0,4,1.11,0.04,-0.04,0,3,0,2015-06-25,La Silla Observatory
HD 10180,g,HD 10180 g,Radial Velocity,0,6,604.67000000,10.42000000,-10.42000000,0,2,1.427000,0.028000,-0.028000,0,2,0.263000,0.152000,-0.152000,0,2,,,,,1,0.07320,0.01380,-0.01380,0,2,Msini,,,,,0,,,,,0,0,0,0,01h37m53.58s,-60d30m41.5s,24.473234,0.000001,-60.511528,0.000001,2,39.00,0.04,-0.04,0,3,7.321,0.010,0,V (Johnson),7.173,,0,5911.00,19.00,-19.00,0,4,1.06,0.05,-0.05,0,4,1.11,0.04,-0.04,0,3,0,2015-06-25,La Silla Observatory
HD 10180,h,HD 10180 h,Radial Velocity,0,6,2205.00000000,105.90000000,-105.90000000,0,2,3.381000,0.121000,-0.121000,0,2,0.095000,0.086000,-0.086000,0,2,,,,,1,0.20660,0.01390,-0.01390,0,2,Msini,,,,,0,,,,,0,0,0,0,01h37m53.58s,-60d30m41.5s,24.473234,0.000001,-60.511528,0.000001,2,39.00,0.04,-0.04,0,3,7.321,0.010,0,V (Johnson),7.173,,0,5911.00,19.00,-19.00,0,4,1.06,0.05,-0.05,0,4,1.11,0.04,-0.04,0,3,0,2015-06-25,La Silla Observatory
HD 10442,b,HD 10442 b,Radial Velocity,0,1,1032.30000000,8.90000000,-8.90000000,0,4,2.010000,0.120000,-0.120000,0,4,0.132000,0.044000,-0.044000,0,4,,,,0,0,1.48700,0.07600,-0.07600,0,4,Msini,,,,,0,,,,0,0,0,0,0,01h41m53.15s,+02d42m15.8s,25.471457,0.000061,2.704376,0.000022,1,135.89,1.34,-1.34,0,1,7.840,,0,V (Johnson),7.577,,0,4912.00,,,0,5,1.01,,,0,4,1.97,,,0,4,0,2018-12-06,W. M. Keck Observatory
HD 10647,b,HD 10647 b,Radial Velocity,0,1,989.20000000,8.10000000,-8.10000000,0,2,2.015000,0.011000,-0.011000,0,2,0.150000,0.080000,-0.080000,0,2,,,,,0,0.94000,0.08000,-0.08000,0,2,Msini,,,,,0,,,,,0,0,0,0,01h42m29.32s,-53d44m27.0s,25.622149,0.000001,-53.740833,0.000001,3,17.34,0.02,-0.02,0,5,5.520,,0,V (Johnson),5.355,,0,6218.00,20.00,-20.00,0,8,1.11,0.02,-0.02,0,7,1.10,0.02,-0.02,0,5,0,2014-05-14,W. M. Keck Observatory
HD 10697,b,HD 10697 b,Radial Velocity,0,1,1075.69000000,0.82000000,-0.82000000,0,3,2.140000,0.088000,-0.088000,0,3,0.104300,0.008300,-0.008300,0,3,,,,0,0,6.38300,0.07800,-0.07800,0,3,Msini,,,,,0,,,,0,0,0,0,0,01h44m55.82s,+20d04m59.3s,26.232603,0.000002,20.083149,0.000002,2,33.15,0.04,-0.04,0,4,6.270,,0,V (Johnson),6.096,,0,5600.00,,,0,6,1.13,,,0,6,1.79,,,0,4,0,2018-12-06,W. M. Keck Observatory
HD 11506,b,HD 11506 b,Radial Velocity,0,2,1622.10000000,2.10000000,-2.10000000,0,5,2.900000,0.140000,-0.140000,0,5,0.374300,0.005300,-0.005300,0,5,,,,0,0,4.83000,0.52000,-0.52000,0,5,Msini,,,,0,0,,,,0,0,0,0,0,01h52m50.53s,-19d30m25.1s,28.210558,0.000002,-19.506975,0.000001,2,51.34,0.13,-0.13,0,3,7.510,,0,V (Johnson),7.374,,0,6030.00,,,0,7,1.24,0.18,-0.18,0,6,1.34,0.05,-0.05,0,6,0,2018-09-27,W. M. Keck Observatory
HD 11506,c,HD 11506 c,Radial Velocity,0,2,223.41000000,0.32000000,-0.32000000,0,3,0.774000,0.038000,-0.038000,0,3,0.193000,0.038000,-0.038000,0,3,,,,0,0,0.40800,0.05700,-0.05700,0,3,Msini,,,,0,0,,,,0,0,0,0,0,01h52m50.53s,-19d30m25.1s,28.210558,0.000002,-19.506975,0.000001,2,51.34,0.13,-0.13,0,3,7.510,,0,V (Johnson),7.374,,0,6030.00,,,0,7,1.24,0.18,-0.18,0,6,1.34,0.05,-0.05,0,6,0,2018-09-27,W. M. Keck Observatory
HD 11977,b,HD 11977 b,Radial Velocity,0,1,711.00000000,8.00000000,-8.00000000,0,2,1.930000,,,0,3,0.400000,0.070000,-0.070000,0,2,,,,0,0,6.54000,,,0,3,Msini,,,,0,0,,,,0,0,0,0,0,01h54m56.13s,-67d38m50.3s,28.733881,0.000001,-67.647301,0.000001,2,68.05,0.71,-0.71,0,2,4.690,,0,V (Johnson),4.371,,0,4970.00,70.00,-70.00,0,4,1.91,0.21,-0.21,0,5,10.09,0.32,-0.32,0,3,0,2019-01-31,La Silla Observatory
